[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
U (all spectra): 403 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4900
Query NIST Bibliographic Databases for
U (new window)
U Energy Levels
U Line Wavelengths and Classification
U Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |          Ritz    |  Rel. |    Aki    | Acc. |   Ei           Ek   | Lower level | Upper level |  gi   gk  |Type|    TP  |   Line  |
          |          Wavelength |       Wavelength |  Int. |    s^-1   |      | (cm-1)       (cm-1) |-------------|-------------|           |    |   Ref. |   Ref.  |
          |           Air (nm)  |        Air (nm)  |  (?)  |           |      |                     | J           | J           |           |    |        |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
U II      |           297.106   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           297.635   |                  |   410 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           298.274   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           298.461   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           299.272   |                  |   410 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           300.791   |                  |   360 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           302.122   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           302.221   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           302.451   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           302.819   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           303.199   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           303.318   |                  |   490 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           304.416   |                  |   490 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           305.020   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           305.791   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           306.162   |                  |   460 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           306.254   |                  |   630 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           307.278   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           309.301   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           309.575   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           309.801   |                  |   320 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           310.239   |                  |   580 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           310.415   |                  |   460 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           311.162   |                  |   970 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           311.935   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           312.495   |                  |   680 |           |      |                     |             |             |           |    |        |  L3475  |
          |                     |                  |       |           |      |                     |             |             |           |    |        |         |
U II      |           313.961   |                  |   530 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           314.497   |                  |   410 |           |      |                     |             |             |           |    |        |  L3475  |
U II      |           314.556   |                  |   490 |           |      |                     |             |             |           |    |        |  L3475  |
