[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
C (all spectra): 961 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
C (new window)
C Energy Levels
C Line Wavelengths and Classification
C Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |             Upper level              |  gi   gk  |Type|               TP  |   Line  |
          |              Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |------------------------------|--------------------------------------|           |    |              Ref. |   Ref.  |
          |               Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                   | Conf.           | Term | J   | Conf.                | Term   | J    |           |    |                   |         |
C IV      |                         |                204.543    |       | 2.17e+07  | B    |  448862.9       -  [497736.7]     | 1s2.5p          | 2P*  | 3/2 | 1s2.9s               | 2S     | 1/2  |   4 - 2   |    |           T3225LS |         |
C II      |                         |                204.8497   |       | 1.10e+06  | B    |  166967.13      -   215767.77     | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p       | 4S     | 3/2  |   2 - 4   |    |           T5109LS |         |
C II      |                         |                204.9488   |       | 2.19e+06  | B    |  166990.73      -   215767.77     | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p       | 4S     | 3/2  |   4 - 4   |    |           T5109LS |         |
C II      |                         |                205.1380   |       | 3.28e+06  | B    |  167035.71      -   215767.77     | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p       | 4S     | 3/2  |   6 - 4   |    |           T5109LS |         |
C III     |                         |                205.1609   |       | 1.22e+08  | B    |  310006.32      -   358732.93     | 1s2.2p.(2P*).3s | 1P*  | 1   | 1s2.2s.6d            | 1D     | 2    |   3 - 5   |    |             T5633 |         |
          |                         |                           |       |           |      |                                   |                 |      |     |                      |        |      |           |    |                   |         |
C II      |                         |                205.179    |       | 3.61e+07  | B    |  181696.66      -   230419        | 2s.2p.(3P*).3p  | 4D   | 1/2 | 2s.2p.(3P*).5d       | 4F*    | 3/2  |   2 - 4   |    |           T5109LS |         |
C II      |                         |                205.180    |       | 3.87e+07  | B    |  181711.03      -   230433        | 2s.2p.(3P*).3p  | 4D   | 3/2 | 2s.2p.(3P*).5d       | 4F*    | 5/2  |   4 - 6   |    |           T5109LS |         |
C II      |                         |                205.181    |       | 4.42e+07  | B    |  181736.05      -   230458        | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d       | 4F*    | 7/2  |   6 - 8   |    |           T5109LS |         |
C II      |                         |                205.218    |       | 5.16e+07  | B    |  181772.41      -   230485.5      | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d       | 4F*    | 9/2  |   8 - 10  |    |           T5109LS |         |
