[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cr (all spectra): 7174 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 10000
Query NIST Bibliographic Databases for
Cr (new window)
Cr Energy Levels
Cr Line Wavelengths and Classification
Cr Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                   Observed  |                     Ritz    |         Rel. |    Aki    | Acc. |           Ei           Ek           |             Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |                  Wavelength |                  Wavelength |         Int. |    s^-1   |      |         (cm-1)       (cm-1)         |--------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |                   Air (nm)  |                   Air (nm)  |         (?)  |           |      |                                     | Conf.                 | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
Cr II     |                 200.43685   |                 200.436872  |           23 |           |      |    20519.2694    -     70394.1455   | 3d5                   | a 4G  | 9/2  | 3d4.(3G).4p            | y 2H* | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr I      |                 200.494     |                 200.49570   |            8 |           |      |     8307.5753    -     58167.82     | 3d4.4s2               | a 5D  | 4    | 3d5.(2F1).4p           | s 3F* | 4    |   9 - 9   |    |                         |        L808  |
Cr I      |                 200.576     |                 200.57607   |           10 |           |      |     8307.5753    -     58147.845    | 3d4.4s2               | a 5D  | 4    | 3d4.4s.5p              | r 5D* | 3    |   9 - 7   |    |                         |        L808  |
Cr II     |                 200.66374   |                 200.663681  |           11 |           |      |    25035.3437    -     74853.855    | 3d5                   | b 4D  | 1/2  | 3d4.(3D).4p            | y 2P* | 1/2  |   2 - 2   |    |                         |      L18847  |
Cr I      |                 200.688     |                 200.688182  |           6: |           |      |        0.0000    -     49812.430    | 3d5.(6S).4s           | a 7S  | 3    | 3d5.(4D).4p            | t 5P* | 3    |   7 - 7   |    |                         |       L9365  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 200.69358   |                 200.693560  |           15 |           |      |    25042.7595    -     74853.855    | 3d5                   | b 4D  | 3/2  | 3d4.(3D).4p            | y 2P* | 1/2  |   4 - 2   |    |                         |      L18847  |
Cr II     |                 200.719091  |                 200.719099  |           37 |           |      |    20512.0630    -     70316.8214   | 3d5                   | a 4G  | 5/2  | 3d4.(3G).4p            | x 4G* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |                 200.72271   |                 200.722698  |           12 |           |      |    38269.5694    -     88073.435    | 3d4.(3D).4s           | c 4D  | 7/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 9/2  |   8 - 10  |    |                         |      L18847  |
Cr II     |                 200.74215   |                 200.742194  |            6 |           |      |    20517.7920    -     70316.8214   | 3d5                   | a 4G  | 7/2  | 3d4.(3G).4p            | x 4G* | 5/2  |   8 - 6   |    |                         |      L18847  |
Cr II     |                 200.7858    |                 200.785775  |            4 |           |      |    67353.2671    -    117141.489    | 3d4.(3H).4p           | y 4G* | 9/2  | 3d4.(5D).6d            | 4G    | 9/2  |  10 - 10  |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 200.798880  |                 200.798888  |          230 |           |      |    66256.5589    -    116041.530    | 3d3.4s2               | d 4P  | 5/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |                 201.101877  |                 201.101880  |           88 |           |      |    66256.5589    -    115966.532    | 3d3.4s2               | d 4P  | 5/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |                 201.11691   |                 201.116902  |           16 | 8.33e+05  |      |        0.0000    -     49706.2607   | 3d5                   | a 6S  | 5/2  | 3d4.(5D).4p            | z 4P* | 5/2  |   6 - 6   |    |                   T7574 |      L18847  |
Cr II     |                 201.21445   |                 201.214260  |            7 |           |      |    25035.3437    -     74717.5574   | 3d5                   | b 4D  | 1/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   2 - 4   |    |                         |      L18847  |
Cr II     |                 201.24430   |                 201.244303  |           26 |           |      |    25042.7595    -     74717.5574   | 3d5                   | b 4D  | 3/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   4 - 4   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 201.260323  |                 201.260329  |           71 |           |      |    25046.7144    -     74717.5574   | 3d5                   | b 4D  | 5/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |                 201.27795   |                 201.277940  |           16 |           |      |    36272.5173    -     85939.0149   | 3d5                   | a 2G  | 9/2  | 3d4.(1F).4p            | v 2G* | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr II     |                 201.36182   |                 201.361843  |            6 | 1.57e+05  |      |        0.0000    -     49645.8058   | 3d5                   | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 7/2  |   6 - 8   |    |                   T7574 |      L18847  |
Cr II     |                 201.369430  |                 201.369412  |           53 |           |      |    53271.007     -    102914.947    | 3d3.4s2               | c 4F  | 5/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 201.411555  |                 201.41157   |           59 |           |      |    53566.2511    -    103199.801    | 3d3.4s2               | c 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 9/2  |   8 - 10  |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 201.435437  |                 201.43546   |           44 |           |      |    53051.334     -    102678.999    | 3d3.4s2               | c 4F  | 3/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |                 201.44389   |                 201.443919  |           12 |           |      |    66256.5589    -    115882.140    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<4>).5f         | 2[4]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 201.54045   |                 201.540398  |           10 |           |      |    38314.8348    -     87916.663    | 3d4.(3D).4s           | c 4D  | 5/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 201.588357  |                 201.588358  |          100 |           |      |    53923.5169    -    103513.546    | 3d3.4s2               | c 4F  | 9/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 11/2 |  10 - 12  |    |                         |      L18847  |
Cr II     |                 201.62983   |                 201.62990   |            4 |           |      |    54887.9858    -    104467.799    | 3d4.(a 3F).4s         | d 4F  | 7/2  | 3d3.(a 2D).4s.4p.(3P*) | o 4D* | 5/2  |   8 - 6   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 201.6921    |                 201.692190  |            3 | 2.82e+05  |      |        0.0000    -     49564.5038   | 3d5                   | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 3/2  |   6 - 4   |    |                   T7574 |      L18847  |
Cr II     |                 201.70817   |                 201.708133  |           9* |           |      |    66010.2463    -    115570.833    | 3d3.4s2               | d 4P  | 3/2  | 3d4.(5D<3>).5f         | 2[2]* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |                 201.70817   |                 201.70815   |           9* |           |      |    53271.007     -    102831.589    | 3d3.4s2               | c 4F  | 5/2  | 3d3.(4P).4s.4p.(3P*)   | q 4D* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 201.73611   |                 201.736112  |           22 |           |      |    66256.5589    -    115810.273    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<4>).5f         | 2[3]* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |                 201.82027   |                 201.820169  |           4* |           |      |    67344.0068    -    116877.085    | 3d4.(3H).4p           | y 4G* | 5/2  | 3d4.(5D).6d            | 4G    | 5/2  |   6 - 6   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 201.82027   |                 201.820500  |           4* |           |      |    51788.8149    -    101321.812    | 3d4.(5D).4p           | z 4F* | 7/2  | 3d4.(a 3F).5s          | f 4F  | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |                 201.99432   |                 201.994300  |           15 |           |      |    65882.4132    -    115372.797    | 3d3.4s2               | d 4P  | 1/2  | 3d4.(5D<2>).5f         | 2[1]* | 3/2  |   2 - 4   |    |                         |      L18847  |
Cr II     |                 202.07099   |                 202.071008  |           15 |           |      |    36101.5238    -     85573.1233   | 3d5                   | a 2G  | 7/2  | 3d4.(1F).4p            | v 2G* | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |                 202.158302  |                 202.158305  |          130 |           |      |    25033.6679    -     74483.9075   | 3d5                   | b 4D  | 7/2  | 3d4.(3D).4p            | x 4P* | 5/2  |   8 - 6   |    |                         |      L18847  |
Cr II     |                 202.21166   |                 202.211662  |           15 |           |      |    25046.7144    -     74483.9075   | 3d5                   | b 4D  | 5/2  | 3d4.(3D).4p            | x 4P* | 5/2  |   6 - 6   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 202.33114   |                 202.33119   |            7 |           |      |    53271.007     -    102678.999    | 3d3.4s2               | c 4F  | 5/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |                 202.34675   |                 202.346730  |            7 |           |      |    38362.3838    -     87766.582    | 3d4.(3D).4s           | c 4D  | 3/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |                 202.4002    |                 202.40036   |            3 |           |      |    54883.481     -    104274.59     | 3d4.(a 3F).4s         | d 4F  | 5/2  | 3d3.(a 2D).4s.4p.(3P*) | o 4D* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |                 202.40486   |                 202.404882  |            3 |           |      |    25033.6679    -     74423.6741   | 3d5                   | b 4D  | 7/2  | 3d4.(3D).4p            | w 4F* | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |                 202.41310   |                 202.413067  |            4 |           |      |    67875.3689    -    117263.378    | 3d4.(a 3F).4p         | x 4D* | 7/2  | 3d4.(5D).6d            | 4D    | 7/2  |   8 - 8   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 202.48223   |                 202.482229  |           17 |           |      |    66256.5589    -    115627.701    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[4]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 202.561863  |                 202.561870  |           57 | 2.11e+06  |      |        0.0000    -     49351.7336   | 3d5                   | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 5/2  |   6 - 6   |    |                   T7574 |      L18847  |
Cr II     |                 202.57179   |                 202.571799  |           14 |           |      |    66256.5589    -    115605.874    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[2]* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |                 202.57445   |                 202.574341  |            9 |           |      |    53566.2511    -    102914.947    | 3d3.4s2               | c 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr I      |                 202.586     |                 202.5947    |           15 |           |      |     7810.7795    -     57154.52     | 3d4.4s2               | a 5D  | 1    | 3d4.(1S1).4s.4p.(3P*)  | u 3P* | 0    |   3 - 1   |    |                         |        L808  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr II     |                 202.63231   |                 202.632392  |            4 |           |      |    66256.5589    -    115591.119    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[3]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |                 202.64577   |                 202.64576   |           28 |           |      |    53271.007     -    102602.312    | 3d3.4s2               | c 4F  | 5/2  | 3d3.(4P).4s.4p.(3P*)   | q 4D* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |                 202.71574   |                 202.715759  |           25 |           |      |    66256.5589    -    115570.833    | 3d3.4s2               | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[2]* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |                 202.77195   |                 202.771968  |            7 |           |      |    36272.5173    -     85573.1233   | 3d5                   | a 2G  | 9/2  | 3d4.(1F).4p            | v 2G* | 7/2  |  10 - 8   |    |                         |      L18847  |
Cr II     |                 202.7773    |                 202.777256  |            5 |           |      |    66010.2463    -    115309.567    | 3d3.4s2               | d 4P  | 3/2  | 3d4.(5D<1>).5f         | 2[2]* | 5/2  |   4 - 6   |    |                         |      L18847  |
          |                             |                             |              |           |      |                                     |                       |       |      |                        |       |      |           |    |                         |              |
Cr I      |                 202.813     |                 202.8158    |           12 |           |      |     7810.7795    -     57100.73     | 3d4.4s2               | a 5D  | 1    |                        | p 5F* | 2    |   3 - 5   |    |                         |        L808  |
Cr I      |                 202.833     |                 202.8335    |           10 |           |      |     7810.7795    -     57096.44     | 3d4.4s2               | a 5D  | 1    |                        | p 5F* | 1    |   3 - 3   |    |                         |        L808  |
Cr II     |                 202.8722    |                 202.87207   |            4 |           |      |    53923.5169    -    103199.801    | 3d3.4s2               | c 4F  | 9/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr II     |                 202.8894    |                 202.889181  |            4 |           |      |    25046.7144    -     74318.8425   | 3d5                   | b 4D  | 5/2  | 3d4.(3D).4p            | w 4F* | 5/2  |   6 - 6   |    |                         |      L18847  |
