[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ni (all spectra): 972 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 8200
Query NIST Bibliographic Databases for
Ni (new window)
Ni Energy Levels
Ni Line Wavelengths and Classification
Ni Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |            Lower level             |              Upper level              |  gi   gk  |Type|         TP  |    Line  |
          |               Wavelength |                Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |------------------------------------|---------------------------------------|           |    |        Ref. |    Ref.  |
          |                Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                     | Conf.                | Term | J    | Conf.                | Term    | J    |           |    |             |          |
Ni IV     |                          |                 204.044   |       | 1.3e-01   | E    |    18366.8       -     67360.0      | 3p6.3d7              | 4P   | 3/2  | 3p6.3d7              | 2D1     | 3/2  |   4 - 4   | E2 |       T4605 |          |
Ni I      |                          |                 204.1144  |       | 3.2e+06   | D    |     1713.087     -     50689.489    | 3d9.(2D).4s          | 3D   | 1    | 3d9.(2D).5p          | 3D*     | 2    |   3 - 5   |    |       T3861 |          |
Ni I      |                          |                 204.7343  |       | 1.8e+07   | C    |      204.787     -     49032.926    | 3d9.(2D).4s          | 3D   | 3    | 3d9.(2D).5p          | 1D*     | 2    |   7 - 5   |    |       T3861 |          |
Ni I      |                          |                 205.0831  |       | 7.6e+06   | E    |     1713.087     -     50458.192    | 3d9.(2D).4s          | 3D   | 1    | 3d9.(2D).5p          | 1P*     | 1    |   3 - 3   |    |       T3861 |          |
Ni I      |                          |                 205.2074  |       | 9.7e+06   | C    |        0.000     -     48715.586    | 3d8.(3F).4s2         | 3F   | 4    | 3d9.(2D).5p          | 3F*     | 4    |   9 - 9   |    |       T3861 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 205.2434  |       | 3.2e+06   | C    |     1332.164     -     50039.191    | 3d8.(3F).4s2         | 3F   | 3    | 3d9.(2D).5p          | 3F*     | 2    |   7 - 5   |    |       T3861 |          |
Ni II     |                          |                 205.3293  |       | 2.5e+06   | B    |     8393.90      -     57080.55     | 3p6.3d8.(3F).4s      | 4F   | 9/2  | 3p6.3d8.(3F).4p      | 2F*     | 7/2  |  10 - 8   |    |      T1024n |          |
Ni I      |                          |                 205.391   |       | 7.5e+05   | D    |        0.000     -     48672.049    | 3d8.(3F).4s2         | 3F   | 4    | 3d9.(2D).5p          | 1F*     | 3    |   9 - 7   |    |       T3861 |          |
Ni I      |                          |                 205.5489  |       | 3.3e+07   | C    |     2216.550     -     50851.199    | 3d8.(3F).4s2         | 3F   | 2    | 3d9.(2D).5p          | 3D*     | 1    |   5 - 3   |    |       T3861 |          |
Ni I      |                          |                 205.9901  |       | 2.1e+07   | D    |      204.787     -     48735.290    | 3d9.(2D).4s          | 3D   | 3    | 3d9.(2D).5p          | 3P*     | 2    |   7 - 5   |    |       T3861 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 206.0195  |       | 2.3e+07   | E    |      879.816     -     49403.386    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 3S*     | 1    |   5 - 3   |    |       T3861 |          |
Ni I      |                          |                 206.2347  |       | 4.6e+06   | E    |     2216.550     -     50689.489    | 3d8.(3F).4s2         | 3F   | 2    | 3d9.(2D).5p          | 3D*     | 2    |   5 - 5   |    |       T3861 |          |
Ni I      |                          |                 206.3395  |       | 5.0e+06   | D    |      879.816     -     49328.140    | 3d9.(2D).4s          | 3D   | 2    | 3d9.(2D).5p          | 3D*     | 3    |   5 - 7   |    |       T3861 |          |
Ni I      |                          |                 206.4373  |       | 4.0e+07   | D    |     1713.087     -     50138.458    | 3d9.(2D).4s          | 3D   | 1    | 3d9.(2D).5p          | 3P*     | 0    |   3 - 1   |    |       T3861 |          |
Ni IV     |                          |                 206.539   |       | 1.9e-01   | E    |    18958.4       -     67360.0      | 3p6.3d7              | 4P   | 1/2  | 3p6.3d7              | 2D1     | 3/2  |   2 - 4   | M1 |       T4605 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni IV     |                          |                 206.539   |       | 6.3e-02   | E    |    18958.4       -     67360.0      | 3p6.3d7              | 4P   | 1/2  | 3p6.3d7              | 2D1     | 3/2  |   2 - 4   | E2 |       T4605 |          |
Ni I      |                          |                 206.9505  |       | 1.1e+07   | D    |      879.816     -     49185.138    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 1D*     | 2    |   5 - 5   |    |       T3861 |          |
Ni IV     |                          |                 207.574   |       | 8.5e+00   | E    |    19829.6       -     67989.8      | 3p6.3d7              | 2G   | 9/2  | 3p6.3d7              | 2D1     | 5/2  |  10 - 6   | E2 |       T4605 |          |
Ni I      |                          |                 208.0619  |       | 8.2e+01   | E    |     3409.937     -     51457.250    | 3d9.(2D).4s          | 1D   | 2    | 3d9.(2D<3/2>).4d     | 2[1/2]  | 0    |   5 - 1   | E2 |       T848n |          |
Ni II     |                          |                 208.0847  |       | 8.0e+06   | C    |    10663.89      -     58705.95     | 3p6.3d8.(3F).4s      | 4F   | 3/2  | 3p6.3d8.(3F).4p      | 2D*     | 3/2  |   4 - 4   |    |      T1024n |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 208.2845  |       | 8.5e+06   | C    |     1332.164     -     49328.140    | 3d8.(3F).4s2         | 3F   | 3    | 3d9.(2D).5p          | 3D*     | 3    |   7 - 7   |    |       T3861 |          |
Ni I      |                          |                 208.5352  |       | 7.7e+06   | C    |      879.816     -     48818.097    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 1P*     | 1    |   5 - 3   |    |       T3861 |          |
Ni XV     |                208.551   |                 208.55+   |       | 2.0e+02   | E    |    14917.5       -     62852.1      | 3s2.3p2              | 3P   | 1    | 3s2.3p2              | 1D      | 2    |   3 - 5   | M1 |       T4830 |  L11926  |
Ni XV     |                          |                 208.551   |       | 1.2e-01   | E    |    14917.5       -     62852.1      | 3s2.3p2              | 3P   | 1    | 3s2.3p2              | 1D      | 2    |   3 - 5   | E2 |       T4830 |          |
Ni I      |                          |                 208.5555  |       | 2.6e+08   | D    |     3409.937     -     51343.547    | 3d9.(2D).4s          | 1D   | 2    | 3d8.(1G).4s.4p.(3P*) | 3F*     | 2    |   5 - 5   |    |       T3861 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 208.8961  |       | 4.2e+06   | D    |      879.816     -     48735.290    | 3d9.(2D).4s          | 3D   | 2    | 3d9.(2D).5p          | 3P*     | 2    |   5 - 5   |    |       T3861 |          |
Ni I      |                          |                 208.9070  |       | 9.7e+06   | D    |     1332.164     -     49185.138    | 3d8.(3F).4s2         | 3F   | 3    | 3d8.(3P).4s.4p.(3P*) | 1D*     | 2    |   7 - 5   |    |       T3861 |          |
