[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cl (all spectra): 481 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 99000
Query NIST Bibliographic Databases for
Cl (new window)
Cl Energy Levels
Cl Line Wavelengths and Classification
Cl Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |          Lower level          |           Upper level           |  gi   gk  |Type|                   TP  |   Line  |
          |             Wavelength |             Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |-------------------------------|---------------------------------|           |    |                  Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |   (?)  |           |      |                               | Conf.            | Term | J   | Conf.              | Term | J   |           |    |                       |         |
Cl III    |                        |              235.993   |        | 1.4e+07   | E    | 216524.6?     -  258885.8?    | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).5s    | 2D   | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |              237.037   |              237.033   |    600 | 2.8e+08   | D    | 216710.4?     -  258885.8?    | 3s2.3p2.(1D).4p  | 2F*  | 7/2 | 3s2.3p2.(1D).5s    | 2D   | 5/2 |   8 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                        |              237.261   |        | 1.1e+07   | D    | 201072.41     -  243207.2?    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d    | 4P   | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |                        |              237.9388  |        | 1.1e+06   | E    | 201072.41     -  243087.20    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d    | 4P   | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |                        |              237.948   |        | 6.2e+07   | D    | 204124.04     -  246137.2?    | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              238.726   |        | 1.1e+07   | D    | 201330.92     -  243207.2?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4P   | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |                        |              239.4120  |        | 7.0e+06   | D    | 201330.92     -  243087.20    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4P   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              240.333   |        | 1.4e+08   | D    | 204540.95     -  246137.2?    | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).5s    | 4P   | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              240.9106  |        | 4.3e+05   | E    | 201330.92     -  242827.48    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4P   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |              241.642   |              241.641   |    700 | 8.8e+07   | D    | 204021.26     -  245392.4?    | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).5s    | 4P   | 3/2 |   2 - 4   |    |            T1619CA,LS |   L480  |
Cl III    |                        |              241.9205  |        | 1.3e+07   | D    | 201763.86     -  243087.20    | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d    | 4P   | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              242.243   |        | 2.8e+07   | E    | 204124.04     -  245392.4?    | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl II     |              242.779   |              242.7775  |    170 | 2.5e+07   | D    | 128622.99     -  169800.47    | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).5d   | 5D*  | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                        |              243.0140  |        | 4.8e+07   | D    | 128663.57     -  169800.98    | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).5d   | 5D*  | 3   |   5 - 7   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl II     |                        |              243.0170  |        | 4.2e+07   | D    | 128663.57     -  169800.47    | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).5d   | 5D*  | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |              243.407   |              243.4071  |    360 | 7.2e+07   | D    | 128730.82     -  169801.79    | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).5d   | 5D*  | 4   |   7 - 9   |    |            T1619CA,LS |  L1617  |
Cl II     |                        |              243.4119  |        | 2.4e+07   | D    | 128730.82     -  169800.98    | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).5d   | 5D*  | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl III    |                        |              243.4507  |        | 3.8e+06   | D    | 201763.86     -  242827.48    | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d    | 4P   | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              243.587   |        | 2.1e+07   | E    | 217850.2?     -  258890.8?    | 3s2.3p2.(1D).4p  | 2D*  | 5/2 | 3s2.3p2.(1D).5s    | 2D   | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |                        |              243.617   |        | 2.0e+08   | D    | 217850.2?     -  258885.8?    | 3s2.3p2.(1D).4p  | 2D*  | 5/2 | 3s2.3p2.(1D).5s    | 2D   | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              243.961   |        | 1.9e+08   | D    | 217913.1?     -  258890.8?    | 3s2.3p2.(1D).4p  | 2D*  | 3/2 | 3s2.3p2.(1D).5s    | 2D   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              243.991   |        | 1.4e+07   | E    | 217913.1?     -  258885.8?    | 3s2.3p2.(1D).4p  | 2D*  | 3/2 | 3s2.3p2.(1D).5s    | 2D   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              244.244   |        | 3.5e+07   | E    | 204021.26     -  244951.5?    | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).5s    | 4P   | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |              244.714   |              244.715   |    600 | 9.4e+07   | D    | 204540.95     -  245392.4?    | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).5s    | 4P   | 3/2 |   6 - 4   |    |            T1619CA,LS |   L480  |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |              244.858   |              244.859   |    600 | 1.8e+08   | D    | 204124.04     -  244951.5?    | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 1/2 |   4 - 2   |    |            T1619CA,LS |   L480  |
