[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Si (all spectra): 1170 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 1000
Query NIST Bibliographic Databases for
Si (new window)
Si Energy Levels
Si Line Wavelengths and Classification
Si Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek           |              Lower level              |                 Upper level                  |  gi   gk  |Type|                  TP  |   Line  |
          |                Wavelength |                Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------------|           |    |                 Ref. |   Ref.  |
          |                 Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                    | Conf.                 | Term    | J   | Conf.                     | Term       | J   |           |    |                      |         |
Si VI     |                           |                 207.27    |       | 1.42e+04  | D    |  1134081        -   1182311        | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d           | 4D         | 3/2 |   4 - 4   |    |                  c44 |         |
Si II     |                 207.270   |                 207.2700  |   200 | 1.0e+08   | D    |    55325.18     -    103556.03     | 3s.3p2                | 2D      | 5/2 | 3s2.4f                    | 2F*        | 7/2 |   6 - 8   |    |           T6527c4,LS |  L3541  |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                           |                 207.2764  |       | 4.59e+05  | E    |     6298.850    -     54528.220    | 3s2.3p2               | 1D      | 2   | 3s2.3p.5s                 | 3P*        | 2   |   5 - 5   |    |                T5071 |         |
Si III    |                           |                 207.5028  |       | 5.95e+07  | D+   |   201597.73     -    249774.48     | 3s.4d                 | 3D      | 1   | 3s.7f                     | 3F*        | 2   |   3 - 5   |    |           T6298c4,LS |         |
Si III    |                           |                 207.5042  |       | 6.30e+07  | C    |   201598.28     -    249774.70     | 3s.4d                 | 3D      | 2   | 3s.7f                     | 3F*        | 3   |   5 - 7   |    |           T6298c4,LS |         |
Si III    |                           |                 207.5052  |       | 1.11e+07  | D    |   201598.28     -    249774.48     | 3s.4d                 | 3D      | 2   | 3s.7f                     | 3F*        | 2   |   5 - 5   |    |           T6298c4,LS |         |
Si III    |                           |                 207.5082  |       | 7.09e+07  | C    |   201599.48     -    249774.98     | 3s.4d                 | 3D      | 3   | 3s.7f                     | 3F*        | 4   |   7 - 9   |    |           T6298c4,LS |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si III    |                           |                 207.5094  |       | 7.90e+06  | D    |   201599.48     -    249774.70     | 3s.4d                 | 3D      | 3   | 3s.7f                     | 3F*        | 3   |   7 - 7   |    |           T6298c4,LS |         |
Si III    |                           |                 207.5104  |       | 3.12e+05  | E    |   201599.48     -    249774.48     | 3s.4d                 | 3D      | 3   | 3s.7f                     | 3F*        | 2   |   7 - 5   |    |           T6298c4,LS |         |
Si VI     |                           |                 207.70    |       | 7.30e+06  | B    |  1041416        -   1089547        | 2s2.2p4.(1D).3s       | 2D      | 5/2 | 2s2.2p4.(3P).3p           | 2D*        | 3/2 |   6 - 4   |    |                  c44 |         |
Si XI     |                           |                 207.83    |       | 5.73e+06  | C    |  2510130        -   2558230        | 1s2.2p.3p             | 3P      | 1   | 1s2.2p.3d                 | 3P*        | 1   |   3 - 3   |    |           T5633c4,LS |         |
Si VI     |                           |                 207.94    |       | 2.63e+06  | B    |  1041472        -   1089547        | 2s2.2p4.(1D).3s       | 2D      | 3/2 | 2s2.2p4.(3P).3p           | 2D*        | 3/2 |   4 - 4   |    |                  c44 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si I      |                           |                 208.2021  |       | 6.45e+06  | D    |     6298.850    -     54313.818    | 3s2.3p2               | 1D      | 2   | 3s2.3p.5s                 | 3P*        | 1   |   5 - 3   |    |                T5071 |         |
Si I      |                           |                 208.4462  |       | 2.73e+06  | D+   |     6298.850    -     54257.582    | 3s2.3p2               | 1D      | 2   | 3s2.3p.3d                 | 3D*        | 3   |   5 - 7   |    |       T8363c22,T5071 |         |
Si X      |                           |                 208.48    |       | 1.41e+07  | B    |  2105750?       -   2153700        | 2s.2p.(3P*).3p        | 2D      | 3/2 | 2s.2p.(3P*).3d            | 2D*        | 3/2 |   4 - 4   |    |           T7192c4,LS |         |
Si I      |                           |                 208.6747  |       | 3.26e+04  | E    |     6298.850    -     54205.090    | 3s2.3p2               | 1D      | 2   | 3s2.3p.3d                 | 3D*        | 2   |   5 - 5   |    |       T8363c22,T5071 |         |
Si I      |                           |                 208.7611  |       | 5.46e+05  | E    |     6298.850    -     54185.264    | 3s2.3p2               | 1D      | 2   | 3s2.3p.3d                 | 3D*        | 1   |   5 - 3   |    |       T8363c22,T5071 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si VI     |                           |                 209.07    |       | 1.58e+04  | D    |  1134496        -   1182311        | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d           | 4D         | 3/2 |   6 - 4   |    |                  c44 |         |
Si VI     |                           |                 210.16    |       | 1.56e+01  | E    |  1134081        -   1181649        | 2s2.2p4.(1D).3p       | 2D*     | 3/2 | 2s2.2p4.(3P).3d           | 4D         | 5/2 |   4 - 6   |    |                  c44 |         |
Si I      |                 210.321   |                           |   30w |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3521  |
Si I      |                 211.463   |                           |    30 |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3521  |
Si VI     |                           |                 212.01    |       | 1.99e+04  | D    |  1134496        -   1181649        | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d           | 4D         | 5/2 |   6 - 6   |    |                  c44 |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si IV     |                 212.018   |                 212.0171  |     3 | 3.06e+08  | A+   |   218266.86     -    265417.95     | 2p6.4p                | 2P*     | 1/2 | 2p6.5s                    | 2S         | 1/2 |   2 - 2   |    |                  c33 |  L6098  |
Si I      |                           |                 212.2990  |       | 3.57e+07  | B    |     6298.850    -     53387.334    | 3s2.3p2               | 1D      | 2   | 3s2.3p.3d                 | 1P*        | 1   |   5 - 3   |    |                T5814 |         |
Si I      |                 212.412   |                 212.4122  |   100 | 2.97e+08  | B    |     6298.850    -     53362.24     | 3s2.3p2               | 1D      | 2   | 3s2.3p.3d                 | 1F*        | 3   |   5 - 7   |    |                T5814 |  L3521  |
Si XI     |                           |                 212.65    |       | 3.54e+06  | B    |  2285040        -   2332050        | 1s2.2s.3p             | 1P*     | 1   | 1s2.2s.3d                 | 3D         | 2   |   3 - 5   |    |              T7333c7 |         |
Si IV     |                 212.747   |                 212.7473  |     4 | 6.14e+08  | A+   |   218428.67     -    265417.95     | 2p6.4p                | 2P*     | 3/2 | 2p6.5s                    | 2S         | 1/2 |   4 - 2   |    |                  c33 |  L6098  |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
Si II     |                 213.399   |                           |   10w |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3541  |
Si II     |                 213.640   |                           |   30w |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3541  |
Si II     |                 213.656   |                           |   50w |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |  L3541  |
Si VI     |                           |                 214.20    |       | 7.96e+02  | E    |  1134496        -   1181167        | 2s2.2p4.(1D).3p       | 2D*     | 5/2 | 2s2.2p4.(3P).3d           | 4D         | 7/2 |   6 - 8   |    |                  c44 |         |
Si XI     |                           |                 214.34    |       | 5.21e+06  | C    |  2510130        -   2556770        | 1s2.2p.3p             | 3P      | 1   | 1s2.2p.3d                 | 3P*        | 2   |   3 - 5   |    |           T5633c4,LS |         |
          |                           |                           |       |           |      |                                    |                       |         |     |                           |            |     |           |    |                      |         |
