[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Pb (all spectra): 176 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 95000
Query NIST Bibliographic Databases for
Pb (new window)
Pb Energy Levels
Pb Line Wavelengths and Classification
Pb Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |            Ritz    |   Rel. |    Aki    | Acc. |      Ei           Ek       |     Lower level      |            Upper level            |  gi   gk  |Type|    TP  |   Line  |
          |            Wavelength |         Wavelength |   Int. |    s^-1   |      |    (cm-1)       (cm-1)     |----------------------|-----------------------------------|           |    |   Ref. |   Ref.  |
          |             Air (nm)  |          Air (nm)  |   (?)  |           |      |                            | Conf.   | Term | J   | Conf.                | Term | J   |           |    |        |         |
Pb I      |             244.6181  |                    |   160r | 2.5e+07   |      |                            |         |      | 1   |                      |      | 1   |   3 - 3   |    |  T3464 |    L50  |
Pb I      |             247.6378  |                    |   130r | 2.8e+07   |      |                            |         |      | 1   |                      |      | 2   |   3 - 5   |    |  T3464 |    L50  |
Pb II     |             252.669   |                    |     8c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             257.660   |                    |     8c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7474  |
Pb I      |             257.7260  |                    |    80r | 5.0e+07   |      |                            |         |      | 2   |                      |      | 1   |   5 - 3   |    |  T3464 |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb II     |             260.838   |                    |     2c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7474  |
Pb I      |             261.3655  |                    |   500r | 2.7e+07   |      |                            |         |      | 1   |                      |      | 1   |   3 - 3   |    |  T3464 |    L50  |
Pb I      |             261.4175  |          261.4175+ |   900r | 1.9e+08   |      |  7819.263   -   46060.836  | 6s2.6p2 | 3P   | 1   | 6s2.6p.(2P*<1/2>).6d | 3D*  | 2   |   3 - 5   |    |  T3464 |    L50  |
Pb I      |             262.8262  |                    |    160 | 3.1e+06   |      |                            |         |      | 2   |                      |      | 1   |   5 - 3   |    |  T3464 |    L50  |
Pb II     |             263.4256  |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             265.7094  |                    |     10 | 9.8e+04   |      |                            |         |      | 1   |                      |      | 2   |   3 - 5   |    |  T3464 |    L50  |
Pb I      |             266.3154  |                    |    700 | 7.1e+07   |      |                            |         |      | 2   |                      |      | 2   |   5 - 5   |    |  T3464 |    L50  |
Pb I      |             269.7541  |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             280.1995  |          280.1995+ | 25000r | 1.6e+08   |      | 10650.327   -   46328.667  | 6s2.6p2 | 3P   | 2   | 6s2.6p.(2P*<1/2>).6d | 3F*  | 3   |   5 - 7   |    |  T3464 |    L50  |
Pb I      |             282.258   |                    |    100 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             282.3189  |                    | 14000r | 2.6e+07   |      |                            |         |      | 2   |                      |      | 2   |   5 - 5   |    |  T3464 |    L50  |
Pb I      |             283.3053  |          283.3053+ | 35000r | 5.8e+07   |      |     0.000   -   35287.224  | 6s2.6p2 | 3P   | 0   | 6s2.6p.(2P*<1/2>).7s | 3P*  | 1   |   1 - 3   |    |  T3464 |    L50  |
Pb II     |             284.0557  |                    |      6 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb IV     |             286.424   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb IV     |             286.450   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             287.3311  |                    | 14000r | 3.7e+07   |      |                            |         |      | 2   |                      |      | 2   |   5 - 5   |    |  T3464 |    L50  |
Pb II     |             288.730   |                    |     3c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             291.4442  |                    |      3 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             294.743   |                    |     2c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb II     |             294.853   |                    |     3c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             296.6460  |                    |     15 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             297.2991  |                    |     15 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb IV     |             297.814   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb I      |             298.0157  |                    |     15 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb II     |             298.6876  |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb II     |             301.639   |                    |    10c |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb III    |             304.385   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb IV     |             305.256   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb III    |             308.908   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb III    |             310.274   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             311.8894  |                    |    150 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb III    |             313.781   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb III    |             317.650   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb I      |             322.0528  |                    |    600 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb IV     |             322.117   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             322.9613  |                    |    100 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             324.0186  |                    |    400 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb III    |             324.284   |                    |      5 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb I      |             326.2355  |                    |    200 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb III    |             353.017   |                    |      1 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb I      |             357.2729  |                    |  35000 | 9.9e+07   |      |                            |         |      | 2   |                      |      | 1   |   5 - 3   |    |  T3464 |    L50  |
Pb III    |             358.987   |                    |      7 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb I      |             363.9568  |          363.9568+ | 50000r | 3.4e+07   |      |  7819.263   -   35287.224  | 6s2.6p2 | 3P   | 1   | 6s2.6p.(2P*<1/2>).7s | 3P*  | 1   |   3 - 3   |    |  T3464 |    L50  |
Pb I      |             367.1491  |                    |  20000 | 4.4e+07   |      |                            |         |      | 2   |                      |      | 1   |   5 - 3   |    |  T3464 |    L50  |
Pb I      |             368.3462  |          368.3462+ | 70000r | 1.5e+08   |      |  7819.263   -   34959.908  | 6s2.6p2 | 3P   | 1   | 6s2.6p.(2P*<1/2>).7s | 3P*  | 0   |   3 - 1   |    |  T3464 |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb III    |             368.931   |                    |      7 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb III    |             370.602   |                    |      3 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb II     |             371.3982  |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb III    |             372.869   |                    |      5 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb I      |             373.9935  |          373.9935+ |  25000 | 7.3e+07   |      | 21457.798   -   48188.630  | 6s2.6p2 | 1D   | 2   | 6s2.6p.(2P*<3/2>).7s | 3P*  | 2   |   5 - 5   |    |  T3464 |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb III    |             385.408   |                    |     12 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb III    |             395.192   |                    |      8 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb IV     |             396.248   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb I      |             401.9632  |                    |  15000 | 3.5e+06   |      |                            |         |      | 2   |                      |      | 3   |   5 - 7   |    |  T3464 |    L50  |
Pb III    |             403.116   |                    |      3 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb IV     |             404.980   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L1202  |
Pb I      |             405.7807  |          405.7807+ |  95000 | 8.9e+07   |      | 10650.327   -   35287.224  | 6s2.6p2 | 3P   | 2   | 6s2.6p.(2P*<1/2>).7s | 3P*  | 1   |   5 - 3   |    |  T3464 |    L50  |
Pb I      |             406.2136  |          406.2136+ |  14000 | 9.2e+07   |      | 21457.798   -   46068.438  | 6s2.6p2 | 1D   | 2   | 6s2.6p.(2P*<1/2>).6d | 3D*  | 1   |   5 - 3   |    |  T3464 |    L50  |
Pb III    |             409.454   |                    |      3 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb II     |             411.076   |                    |      5 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
Pb II     |             411.335   |                    |      4 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb III    |             412.811   |                    |      2 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L7300  |
Pb II     |             415.282   |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |  L2579  |
Pb I      |             415.7814  |                    |     10 |           |      |                            |         |      |     |                      |      |     |           |    |        |    L50  |
Pb I      |             416.8033  |                    |  10000 | 1.2e+06   |      |                            |         |      | 2   |                      |      | 2   |   5 - 5   |    |  T3464 |    L50  |
          |                       |                    |        |           |      |                            |         |      |     |                      |      |     |           |    |        |         |
