[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
S (all spectra): 1850 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 120
Query NIST Bibliographic Databases for
S (new window)
S Energy Levels
S Line Wavelengths and Classification
S Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |            Upper level            |  gi   gk  |Type|         TP  |               Line  |
          |                Wavelength |                Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |---------------------------------|-----------------------------------|           |    |        Ref. |               Ref.  |
          |                 Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                   | Conf.            | Term  | J    | Conf.              | Term  | J    |           |    |             |                     |
S V       |                202.7328   |                202.7292   |      1 | 5.19e+08  | D    |   396039.5      -    445350.5     | 3s.4d            | 3D    | 2    | 3s.5p              | 3P*   | 1    |   5 - 3   |    |  T6298c4,LS |              L5337  |
S V       |                202.8648   |                202.8642   |      1 | 6.90e+08  | D    |   396025.5      -    445303.7     | 3s.4d            | 3D    | 1    | 3s.5p              | 3P*   | 0    |   3 - 1   |    |  T6298c4,LS |              L5337  |
S II      |                203.1710   |                203.1711   |      1 |           |      |    79395.39     -    128599.16    | 3s.3p4           | 4P    | 5/2  | 3s2.3p2.(3P).4p    | 4D*   | 7/2  |   6 - 8   |    |             |              L5883  |
S II      |                204.6942   |                204.6937   |      2 |           |      |    79395.39     -    128233.20    | 3s.3p4           | 4P    | 5/2  | 3s2.3p2.(3P).4p    | 4D*   | 5/2  |   6 - 6   |    |             |              L5883  |
S VI      |                205.445    |                205.445    |    10* |           |      |   551759.6      -    600418.8     | 2p6.5f           | 2F*   | 5/2  | 2p6.6g             | 2G    | 7/2  |   6 - 8   |    |             |              L4882  |
          |                           |                           |        |           |      |                                   |                  |       |      |                    |       |      |           |    |             |                     |
S VI      |                205.445    |                205.445    |    10* |           |      |   551759.6      -    600418.8     | 2p6.5f           | 2F*   | 7/2  | 2p6.6g             | 2G    | 7/2  |   8 - 8   |    |             |              L4882  |
S VI      |                205.445    |                205.445    |    10* |           |      |   551759.6      -    600418.8     | 2p6.5f           | 2F*   | 7/2  | 2p6.6g             | 2G    | 9/2  |   8 - 10  |    |             |              L4882  |
S II      |                205.7764   |                205.7762   |      1 |           |      |    79395.39     -    127976.34    | 3s.3p4           | 4P    | 5/2  | 3s2.3p2.(3P).4p    | 4D*   | 3/2  |   6 - 4   |    |             |              L5883  |
S III     |                205.9854   |                205.9835   |      1 | 7.06e+05  | C+   |   122118.5      -    170650.55    | 3s2.3p.3d        | 3F*   | 2    | 3s2.3p.4p          | 3D    | 3    |   5 - 7   |    |    T7942c84 |             L11011  |
