[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cd (all spectra): 150 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 2000
Query NIST Bibliographic Databases for
Cd (new window)
Cd Energy Levels
Cd Line Wavelengths and Classification
Cd Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |           Ritz    |  Rel. |    Aki    | Acc. |      Ei           Ek      |       Lower level       |       Upper level        |  gi   gk  |Type|    TP  |      Line  |
          |            Wavelength |        Wavelength |  Int. |    s^-1   |      |    (cm-1)       (cm-1)    |-------------------------|--------------------------|           |    |   Ref. |      Ref.  |
          |             Air (nm)  |         Air (nm)  |  (?)  |           |      |                           | Conf.      | Term | J   | Conf.       | Term | J   |           |    |        |            |
Cd I      |            251.8588   |        251.8589+  |   15w |           |      | 30113.990   -  69806.814  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.10s | 3S   | 1   |   1 - 3   |    |        |     L3486  |
Cd I      |            252.51964  |        252.5196+  |   25w |           |      | 30656.087   -  70245.060  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.9d  | 3D   | 2   |   3 - 5   |    |        |     L3486  |
Cd I      |            254.46130  |        254.4613+  |    50 |           |      | 30113.990   -  69400.900  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.8d  | 3D   | 1   |   1 - 3   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            255.198    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            255.34647  |        255.3465+  |    25 |           |      | 30656.087   -  69806.814  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.10s | 3S   | 1   |   3 - 3   |    |        |     L3486  |
Cd I      |            256.57894  |        256.5789+  |     3 |           |      | 31826.952   -  70789.634  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.10d | 3D   | 3   |   5 - 7   |    |        |     L3486  |
Cd II     |            257.293    |                   |   500 | 1.7e+08   |      |                           |            |      | 1/2 |             |      | 1/2 |   2 - 2   |    |  T3464 |     L3540  |
Cd I      |            258.01062  |        258.0106+  |    50 |           |      | 30656.087   -  69402.583  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.8d  | 3D   | 2   |   3 - 5   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd I      |            258.4870   |        258.487+   |     3 |           |      | 31826.952   -  70502.04   | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.11s | 3S   | 1   |   5 - 3   |    |        |     L3486  |
Cd I      |            259.20258  |        259.2025+  |    30 |           |      | 30113.990   -  68682.325  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.9s  | 3S   | 1   |   1 - 3   |    |        |     L3486  |
Cd I      |            260.20477  |        260.2048+  |   25w |           |      | 31826.952   -  70246.742  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.9d  | 3D   | 3   |   5 - 7   |    |        |     L3486  |
Cd III    |            261.881    |                   |    15 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            262.89786  |        262.8979+  |    50 |           |      | 30656.087   -  68682.325  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.9s  | 3S   | 1   |   3 - 3   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd III    |            263.056    |                   |     5 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            263.21901  |        263.2190+  |    40 |           |      | 31826.952   -  69806.814  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.10s | 3S   | 1   |   5 - 3   |    |        |     L3486  |
Cd I      |            263.94196  |        263.9420+  |    75 |           |      | 30113.990   -  67989.814  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.7d  | 3D   | 1   |   1 - 3   |    |        |     L3486  |
Cd II     |            265.923    |                   |    40 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            266.03253  |        266.0325+  |   50w |           |      | 31826.952   -  69405.160  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.8d  | 3D   | 3   |   5 - 7   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            266.820    |                   |    25 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            267.262    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            267.75397  |        267.7540+  |   100 |           |      | 30656.087   -  67992.708  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.7d  | 3D   | 2   |   3 - 5   |    |        |     L3486  |
Cd I      |            267.77484  |        267.7748+  |    25 |           |      | 30656.087   -  67989.814  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.7d  | 3D   | 1   |   3 - 3   |    |        |     L3486  |
Cd II     |            270.700    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd I      |            271.25049  |        271.2505+  |    75 |           |      | 31826.952   -  68682.325  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.9s  | 3S   | 1   |   5 - 3   |    |        |     L3486  |
Cd I      |            273.38199  |        273.3819+  |    50 |           |      | 30113.990   -  66682.029  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.8s  | 3S   | 1   |   1 - 3   |    |        |     L3486  |
Cd II     |            274.854    |                   |  1000 | 2.8e+08   |      |                           |            |      | 3/2 |             |      | 1/2 |   4 - 2   |    |  T3464 |     L3540  |
Cd I      |            276.38935  |        276.3894+  |  100w |           |      | 31826.952   -  67997.101  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.7d  | 3D   | 3   |   5 - 7   |    |        |     L3486  |
Cd I      |            276.42305  |        276.4230+  |   50w |           |      | 31826.952   -  67992.708  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.7d  | 3D   | 2   |   5 - 5   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd III    |            276.699    |                   |    20 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            277.49585  |        277.4958+  |    50 |           |      | 30656.087   -  66682.029  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.8s  | 3S   | 1   |   3 - 3   |    |        |     L3486  |
Cd III    |            280.559    |                   |    30 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            282.319    |                   |    30 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            283.68999  |        283.6900+  |   200 | 2.8e+07   |      | 30113.990   -  65353.372  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.6d  | 3D   | 1   |   1 - 3   |    |  T3464 |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            285.646    |                   |    25 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            286.81799  |        286.8181+  |   100 |           |      | 31826.952   -  66682.029  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.8s  | 3S   | 1   |   5 - 3   |    |        |     L3486  |
Cd I      |            288.07670  |        288.0767+  |  200r | 4.2e+07   |      | 30656.087   -  65358.881  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.6d  | 3D   | 2   |   3 - 5   |    |  T3464 |     L3486  |
Cd I      |            288.12245  |        288.1225+  |   50r | 2.4e+07   |      | 30656.087   -  65353.372  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.6d  | 3D   | 1   |   3 - 3   |    |  T3464 |     L3486  |
Cd II     |            291.467    |                   |   200 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            292.787    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd II     |            292.927    |                   |   200 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            298.06204  |        298.0620+  | 1000r | 5.9e+07   |      | 31826.952   -  65367.227  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.6d  | 3D   | 3   |   5 - 7   |    |  T3464 |     L3486  |
Cd I      |            298.13625  |        298.1362+  |  200r | 1.5e+07   |      | 31826.952   -  65358.881  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.6d  | 3D   | 2   |   5 - 5   |    |  T3464 |     L3486  |
Cd I      |            298.18538  |        298.1852+  |    50 |           |      | 31826.952   -  65353.372  | 4d10.5s.5p | 3P*  | 2   | 4d10.5s.6d  | 3D   | 1   |   5 - 3   |    |        |  L3486c92  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            303.060    |                   |    50 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd III    |            303.572    |                   |    10 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            308.08224  |        308.0822+  |   150 |           |      | 30113.990   -  62563.435  | 4d10.5s.5p | 3P*  | 0   | 4d10.5s.7s  | 3S   | 1   |   1 - 3   |    |        |     L3486  |
Cd II     |            308.148    |                   |    25 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
Cd I      |            308.25934  |        308.2592+  |    30 |           |      | 30656.087   -  63086.896  | 4d10.5s.5p | 3P*  | 1   | 4d10.5s.7s  | 1S   | 0   |   3 - 1   |    |        |     L3486  |
          |                       |                   |       |           |      |                           |            |      |     |             |      |     |           |    |        |            |
Cd II     |            309.234    |                   |   100 |           |      |                           |            |      |     |             |      |     |           |    |        |     L3540  |
