[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
V (all spectra): 1310 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 12000
Query NIST Bibliographic Databases for
V (new window)
V Energy Levels
V Line Wavelengths and Classification
V Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                  Ritz    |  Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level               |  gi   gk  |Type|         TP  |          Line  |
          |               Wavelength |               Wavelength |  Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|----------------------------------------|           |    |        Ref. |          Ref.  |
          |                Air (nm)  |                Air (nm)  |  (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term   | J    |           |    |             |                |
V IV      |                214.1199  |                214.12+   |    40 | 7.0e+08   | D    |   216905.0      -    263593.0     | 3p6.3d.4d            | 3D    | 1    | 3p6.3d.4f              | 3F*    | 2    |   3 - 5   |    |       T2757 |        L11926  |
V IV      |                214.6828  |                214.68+   |    50 | 6.6e+08   |      |   217836.3      -    264401.9     | 3p6.3d.4d            | 3G    | 3    | 3p6.3d.4f              | 3H*    | 4    |   7 - 9   |    |       T2757 |   L147,L11926  |
V IV      |                214.9852  |                214.98+   |    20 | 5.1e+08   | D    |   217108.0      -    263608.3     | 3p6.3d.4d            | 3D    | 2    | 3p6.3d.4f              | 3F*    | 3    |   5 - 7   |    |       T2757 |        L11926  |
V IV      |                215.0231  |                215.02+   |    40 |           |      |   217990.7      -    264482.8     | 3p6.3d.4d            | 1P    | 1    | 3p6.3d.4f              | 1D*    | 2    |   3 - 5   |    |             |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                215.0231  |                215.02+   |    40 | 3.2e+08   | D    |   218100.0      -    264591.9     | 3p6.3d.4d            | 3G    | 4    | 3p6.3d.4f              | 3H*    | 5    |   9 - 11  |    |       T2757 |        L11926  |
V IV      |                215.1087  |                215.11+   |    20 | 4.3e+08   |      |   217350.0      -    263822.4     | 3p6.3d.4d            | 3D    | 3    | 3p6.3d.4f              | 3G*    | 4    |   7 - 9   |    |       T2757 |        L11926  |
V IV      |                215.5336  |                215.53+   |   100 | 1.2e+09   | D    |   218463.6      -    264845.7     | 3p6.3d.4d            | 3G    | 5    | 3p6.3d.4f              | 3H*    | 6    |  11 - 13  |    |       T2757 |   L147,L11926  |
V IV      |                215.9055  |                215.91+   |    10 | 1.5e+08   |      |   218100.0      -    264401.9     | 3p6.3d.4d            | 3G    | 4    | 3p6.3d.4f              | 3H*    | 4    |   9 - 9   |    |       T2757 |        L11926  |
V IV      |                216.0222  |                216.02+   |    20 | 3.1e+08   | D    |   217836.3      -    264113.1     | 3p6.3d.4d            | 3G    | 3    | 3p6.3d.4f              | 3F*    | 4    |   7 - 9   |    |       T2757 |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                216.2498  |                216.25+   |    30 |           |      |   100200.7      -    146429.3     | 3p6.3d.4s            | 1D    | 2    | 3p6.3d.4p              | 3D*    | 2    |   5 - 5   |    |             |        L11926  |
V IV      |                216.7200  |                216.72+   |    20 | 1.4e+08   | D    |   218463.6      -    264591.9     | 3p6.3d.4d            | 3G    | 5    | 3p6.3d.4f              | 3H*    | 5    |  11 - 11  |    |       T2757 |        L11926  |
V IV      |                217.0384  |                217.03+   |    40 | 3.2e+08   |      |   218100.0      -    264161.8     | 3p6.3d.4d            | 3G    | 4    | 3p6.3d.4f              | 3G*    | 5    |   9 - 11  |    |       T2757 |        L11926  |
V IV      |                217.3893  |                217.39+   |    10 | 1.2e+08   | D    |   217836.3      -    263822.4     | 3p6.3d.4d            | 3G    | 3    | 3p6.3d.4f              | 3G*    | 4    |   7 - 9   |    |       T2757 |        L11926  |
V IV      |                218.6394  |                218.64+   |     0 | 2.3e+07   | D    |   218100.0      -    263822.4     | 3p6.3d.4d            | 3G    | 4    | 3p6.3d.4f              | 3G*    | 4    |   9 - 9   |    |       T2757 |        L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V IV      |                218.7562  |                218.76+   |     5 | 7.6e+07   | D    |   218463.6      -    264161.8     | 3p6.3d.4d            | 3G    | 5    | 3p6.3d.4f              | 3G*    | 5    |  11 - 11  |    |       T2757 |        L11926  |
V IV      |                219.5388  |                219.54+   |    10 |           |      |   220343.5      -    265879.2     | 3p6.3d.4d            | 3S    | 1    | 3p6.3d.4f              | 3P*    | 2    |   3 - 5   |    |             |        L11926  |
V III     |                223.291   |                          |   500 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L4746  |
V III     |                224.153   |                          |   400 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L4746  |
V IV      |                226.8298  |                226.83+   |   500 | 3.2e+08   | D    |   100200.7      -    144273.1     | 3p6.3d.4s            | 1D    | 2    | 3p6.3d.4p              | 1D*    | 2    |   5 - 5   |    |       T2757 |   L147,L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V III     |                229.286   |                          |  1000 |           |      |                                   |                      |       |      |                        |        |      |           |    |             |         L4746  |
V IV      |                231.3236  |                231.32+   |     1 |           |      |   263111.4      -    306327.7     | 3p6.3d.4f            | 1G*   | 4    | 3p6.3d.(2D<3/2>).5g    | 2[7/2] | 4    |   9 - 9   |    |             |        L11926  |
V III     |                231.418   |                231.4176  |   400 | 3.8e+07   | D    |    44345.82     -     87544.46    | 3d2.(3F).4s          | b 4F  | 7/2  | 3d2.(3F).4p            | z 4F*  | 9/2  |   8 - 10  |    |      T3396n |         L4746  |
V III     |                231.806   |                231.8061  |   500 | 4.6e+08   | D    |    63315.05     -    106441.31    | 3d2.(1G).4s          | b 2G  | 7/2  | 3d2.(1G).4p            | z 2H*  | 9/2  |   8 - 10  |    |      T3396n |         L4746  |
V V       |                231.895   |                231.895+  |  20bl |           |      |   293902.86     -    337012.59    | 3p6.4d               | 2D    | 3/2  | 3p5.(2P*).3d2.(1D)     | 2F*    | 5/2  |   4 - 6   |    |             |  L3917,L11926  |
          |                          |                          |       |           |      |                                   |                      |       |      |                        |        |      |           |    |             |                |
V III     |                231.900   |                231.8995  |   400 | 5.6e+07   | D    |    44110.04     -     87218.92    | 3d2.(3F).4s          | b 4F  | 5/2  | 3d2.(3F).4p            | z 4F*  | 7/2  |   6 - 8   |    |      T3396n |         L4746  |
V IV      |                232.1962  |                232.20+   |     1 |           |      |   263822.4      -    306876.3     | 3p6.3d.4f            | 3G*   | 4    | 3p6.3d.(2D<5/2>).5g    | 2[9/2] | 4    |   9 - 9   |    |             |        L11926  |
