[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cu (all spectra): 1023 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 10000
Query NIST Bibliographic Databases for
Cu (new window)
Cu Energy Levels
Cu Line Wavelengths and Classification
Cu Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |                    Ritz    |     Rel. |    Aki    | Acc. |          Ei           Ek           |            Lower level            |              Upper level              |  gi   gk  |Type|    TP  |      Line  |
          |                Wavelength |                 Wavelength |     Int. |    s^-1   |      |        (cm-1)       (cm-1)         |-----------------------------------|---------------------------------------|           |    |   Ref. |      Ref.  |
          |                 Air (nm)  |                  Air (nm)  |     (?)  |           |      |                                    | Conf.                | Term | J   | Conf.                | Term | J       |           |    |        |            |
Cu I      |                208.3911   |                 208.3911   |       6a |           |      |    13245.443    -     61216.86     | 3d9.4s2              | 2D   | 3/2 | 3d10.12p             | 2P*  | 1/2     |   4 - 2   |    |        |     L4958  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu XV     |                208.53     |                 208.5*     |          | 2.81e+02  | C    |        0        -     47940        | 3s2.3p3              | 4S*  | 3/2 | 3s2.3p3              | 2D*  | 3/2     |   4 - 4   | M1 |  T4931 |    L11926  |
Cu I      |                209.5161   |                 209.5159   |       8a |           |      |    13245.443    -     60959.37     | 3d9.4s2              | 2D   | 3/2 | 3d10.11p             | 2P*  | 1/2     |   4 - 2   |    |        |     L4958  |
Cu I      |                209.529    |                 209.52925  |       3a |           |      |    13245.443    -     60956.32     | 3d9.4s2              | 2D   | 3/2 | 3d10.11p             | 2P*  | 3/2     |   4 - 4   |    |        |     L4958  |
Cu II     |                209.8398   |                            |      110 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu II     |                210.4797   |                            |      320 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                210.5112   |                 210.51146  |      10a |           |      |    11202.618    -     58690.91     | 3d9.4s2              | 2D   | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2D*  | 3/2     |   6 - 4   |    |        |     L4958  |
Cu I      |                211.1006   |                 211.1007   |      10a |           |      |    13245.443    -     60601.19     | 3d9.4s2              | 2D   | 3/2 | 3d10.10p             | 2P*  | 1/2     |   4 - 2   |    |        |     L4958  |
Cu I      |                211.1280   |                 211.12789  |       4a |           |      |    13245.443    -     60595.10     | 3d9.4s2              | 2D   | 3/2 | 3d10.10p             | 2P*  | 3/2     |   4 - 4   |    |        |     L4958  |
Cu II     |                211.2100   |                            |      300 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                211.326    |                 211.3238   |       2h |           |      |    30535.324    -     77841.10     | 3d10.4p              | 2P*  | 1/2 | 3d9.4s.(3D).5d       | 4P   | 3/2     |   2 - 4   |    |        |      L772  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu II     |                211.7310   |                            |      320 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu II     |                212.2980   |                            |      350 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                212.435    |                 212.4393   |       5h |           |      |    30783.697    -     77841.10     | 3d10.4p              | 2P*  | 3/2 | 3d9.4s.(3D).5d       | 4P   | 3/2     |   4 - 4   |    |        |      L772  |
Cu II     |                212.6044   |                            |      350 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                213.0762   |                 213.0762   |      50r |           |      |    11202.618    -     58119.37     | 3d9.4s2              | 2D   | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2F*  | 5/2     |   6 - 6   |    |        |      L772  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                213.4283   |                 213.4282   |      10a |           |      |    13245.443    -     60084.83     | 3d9.4s2              | 2D   | 3/2 | 3d10.9p              | 2P*  | 1/2     |   4 - 2   |    |        |     L4958  |
Cu II     |                213.4341   |                            |      420 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                213.4952   |                 213.49503  |       7a |           |      |    13245.443    -     60070.17     | 3d9.4s2              | 2D   | 3/2 | 3d10.9p              | 2P*  | 3/2     |   4 - 4   |    |        |     L4958  |
Cu II     |                213.5981   |                            |      900 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                213.8546   |                 213.85485  |      20a |           |      |    11202.618    -     57948.568    | 3d9.4s2              | 2D   | 5/2 | 3d10.7p              | 2P*  | 3/2     |   6 - 4   |    |        |     L4958  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                214.037    |                 214.02068  |        1 |           |      |    11202.618    -     57912.353    | 3d9.4s2              | 2D   | 5/2 | 3d10.5f              | 2F*  | 7/2     |   6 - 8   |    |        |      L772  |
Cu I      |                214.0533   |                 214.05384  |      10a |           |      |    11202.618    -     57905.117    | 3d9.4s2              | 2D   | 5/2 | 3d10.5f              | 2F*  | 5/2     |   6 - 6   |    |        |     L4958  |
Cu II     |                214.8984   |                            |      400 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu III    |                215.728    |                            |      150 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |     L2987  |
Cu II     |                216.1320   |                            |      150 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                216.5093   |                 216.50934  |    1300r | 5.5e+07   | C+   |        0.000    -     46172.89     | 3d10.4s              | 2S   | 1/2 | 3d9.(2D).4s.4p.(3P*) | *    | 3/2     |   2 - 4   |    |  T7574 |      L772  |
Cu I      |                216.9586   |                 216.9587   |      20a |           |      |    13245.443    -     59322.72     | 3d9.4s2              | 2D   | 3/2 | 3d10.8p              | 2P*  | 1/2     |   4 - 2   |    |        |     L4958  |
Cu I      |                217.1835   |                 217.18366  |      15a |           |      |    13245.443    -     59274.99     | 3d9.4s2              | 2D   | 3/2 | 3d10.8p              | 2P*  | 3/2     |   4 - 4   |    |        |     L4958  |
Cu II     |                217.4982   |                            |      250 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                217.8944   |                 217.89488  |    1600r | 9.1e+07   | C+   |        0.000    -     45879.32     | 3d10.4s              | 2S   | 1/2 | 3d9.(2D).4s.4p.(3P*) | 2P*  | 3/2     |   2 - 4   |    |  T7574 |      L772  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu II     |                217.9410   |                            |      700 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu I      |                218.1720   |                 218.17253  |    1700r | 9.9e+07   | C+   |        0.000    -     45820.94     | 3d10.4s              | 2S   | 1/2 | 3d9.(2D).4s.4p.(3P*) | 2P*  | 1/2     |   2 - 2   |    |  T7574 |      L772  |
Cu II     |                218.9630   |                            |      700 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu II     |                219.2268   |                            |      900 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu II     |                219.5683   |                            |      400 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
          |                           |                            |          |           |      |                                    |                      |      |     |                      |      |         |           |    |        |            |
Cu I      |                219.9583   |                 219.95917  |    1700r |           |      |    11202.618    -     56651.41     | 3d9.4s2              | 2D   | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2D*  | 5/2     |   6 - 6   |    |        |      L772  |
Cu I      |                219.9752   |                 219.9753   |    1300r |           |      |    13245.443    -     58690.91     | 3d9.4s2              | 2D   | 3/2 | 3d9.(2D).4s.4p.(1P*) | 2D*  | 3/2     |   4 - 4   |    |        |      L772  |
Cu II     |                220.0509   |                            |      100 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
Cu II     |                220.9806   |                            |      200 |           |      |                                    |                      |      |     |                      |      |         |           |    |        |      L869  |
