[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Be (all spectra): 743 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 3]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 2360
Query NIST Bibliographic Databases for
Be (new window)
Be Energy Levels
Be Line Wavelengths and Classification
Be Transition Probabilities
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |                         Ritz    |  Rel. |     Aki    | Acc. |            Ei           Ek              |             Lower level             |            Upper level            |  gi   gk  |Type|      TP  |    Line  |
          |                    Wavelength |                      Wavelength |  Int. |     s^-1   |      |          (cm-1)       (cm-1)            |-------------------------------------|-----------------------------------|           |    |     Ref. |    Ref.  |
          |                     Air (nm)  |                       Air (nm)  |  (?)  |            |      |                                         | Conf.                  | Term | J   | Conf.               | Term | J    |           |    |          |          |
Be III    |                               |                    208.04       |       | 1.5117e+05 | AAA  | 1131462.          -  1179515.           | 1s.3d                  | 1D   | 2   | 1s.4f               | 3F*  | 2    |   5 - 5   |    | T8636c73 |          |
Be III    |                               |                    210.73       |       | 1.8344e+03 | AAA  | 1132390.          -  1179830.           | 1s.3p                  | 1P*  | 1   | 1s.4p               | 1P*  | 1    |   3 - 3   | E2 |    T7378 |          |
Be III    |                  211.856      |                                 |    25 |            |      |                                         |                        |      |     |                     |      |      |           |    |          |   L1653  |
Be III    |                  212.227      |                    212.22       |   15w | 5.7407e+08 | AAA  | 1132390.          -  1179495.           | 1s.3p                  | 1P*  | 1   | 1s.4d               | 1D   | 2    |   3 - 5   |    | T8636c73 |   L2683  |
Be III    |                               |                    212.42       |       | 2.5574e+05 | AAA  | 1132390.          -  1179451.           | 1s.3p                  | 1P*  | 1   | 1s.4d               | 3D   | 2    |   3 - 5   |    | T8636c73 |          |
          |                               |                                 |       |            |      |                                         |                        |      |     |                     |      |      |           |    |          |          |
Be I      |                  212.5568     |                    212.5544     |   3,* | 2.02e+06   | C    |   21978.28        -    69010.20         | 1s2.2s.2p              | 3P*  | 0   | 1s2.2s.5s           | 3S   | 1    |   1 - 3   |    |      u28 |   L4743  |
Be I      |                  212.5568     |                    212.5573     |   3,* | 6.0e+06    | C    |   21978.925       -    69010.20         | 1s2.2s.2p              | 3P*  | 1   | 1s2.2s.5s           | 3S   | 1    |   3 - 3   |    |      u28 |   L4743  |
Be I      |                  212.5685     |                    212.5679     |     5 | 1.01e+07   | C    |   21981.27        -    69010.20         | 1s2.2s.2p              | 3P*  | 2   | 1s2.2s.5s           | 3S   | 1    |   5 - 3   |    |      u28 |   L4743  |
Be III    |                  212.720      |                    212.72       |  15w* | 1.6162e+08 | AAA  | 1128300.          -  1175295.           | 1s.3p                  | 3P*  | 2   | 1s.4s               | 3S   | 1    |   5 - 3   |    | T8636c73 |   L2683  |
