[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
P (all spectra): 266 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 950
Query NIST Bibliographic Databases for
P (new window)
P Energy Levels
P Line Wavelengths and Classification
P Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |         Lower level          |         Upper level          |  gi   gk  |Type|            TP  |   Line  |
          |             Wavelength |             Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |------------------------------|------------------------------|           |    |           Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |  (?)  |           |      |                               | Conf.           | Term | J   | Conf.           | Term | J   |           |    |                |         |
P V       |              242.440   |              242.4403  |   375 | 6.4e+08   | C    |  304160.87    -   345395.62   | 2p6.4p          | 2P*  | 1/2 | 2p6.4d          | 2D   | 3/2 |   2 - 4   |    | T1619interp,LS |  L2613  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P V       |              244.093   |              244.0936  |   450 | 7.4e+08   | C    |  304445.28    -   345400.75   | 2p6.4p          | 2P*  | 3/2 | 2p6.4d          | 2D   | 5/2 |   4 - 6   |    | T1619interp,LS |  L2613  |
P V       |              244.124   |              244.1242  |   200 | 1.2e+08   | C    |  304445.28    -   345395.62   | 2p6.4p          | 2P*  | 3/2 | 2p6.4d          | 2D   | 3/2 |   4 - 4   |    | T1619interp,LS |  L2613  |
P IX      |                        |              245.82    |       | 1.73e+01  | C    |   76481       -   117149      | 2s2.2p3         | 2D*  | 5/2 | 2s2.2p3         | 2P*  | 3/2 |   6 - 4   | M1 |           T335 |         |
P IX      |                        |              245.82    |       | 4.9e-01   | D    |   76481       -   117149      | 2s2.2p3         | 2D*  | 5/2 | 2s2.2p3         | 2P*  | 3/2 |   6 - 4   | E2 |           T335 |         |
P IV      |              247.7823  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |              247.8070  |                        |   150 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P IV      |              247.8256  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P II      |              248.419   |                        |   100 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P IX      |                        |              248.60    |       | 1.85e+01  | C    |   75896       -   116109      | 2s2.2p3         | 2D*  | 3/2 | 2s2.2p3         | 2P*  | 1/2 |   4 - 2   | M1 |           T335 |         |
P IX      |                        |              248.60    |       | 4.0e-01   | D    |   75896       -   116109      | 2s2.2p3         | 2D*  | 3/2 | 2s2.2p3         | 2P*  | 1/2 |   4 - 2   | E2 |           T335 |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IX      |                        |              252.27    |       | 2.5e-01   | D    |   76481       -   116109      | 2s2.2p3         | 2D*  | 5/2 | 2s2.2p3         | 2P*  | 1/2 |   6 - 2   | E2 |           T335 |         |
P I       |              253.3976  |              253.3986  |   750 | 2.00e+07  | C    |   18722.71    -    58174.366  | 3s2.3p3         | 2P*  | 1/2 | 3s2.3p2.(3P).4s | 2P   | 3/2 |   2 - 4   |    |          T1220 |  L5148  |
P I       |              253.5603  |              253.5612  |   950 | 9.5e+07   | C    |   18748.01    -    58174.366  | 3s2.3p3         | 2P*  | 3/2 | 3s2.3p2.(3P).4s | 2P   | 3/2 |   4 - 4   |    |          T1220 |  L5148  |
P I       |              255.3262  |              255.3260  |   750 | 7.1e+07   | C    |   18722.71    -    57876.574  | 3s2.3p3         | 2P*  | 1/2 | 3s2.3p2.(3P).4s | 2P   | 1/2 |   2 - 2   |    |          T1220 |  L5148  |
P I       |              255.4915  |              255.4911  |   500 | 3.00e+07  | C    |   18748.01    -    57876.574  | 3s2.3p3         | 2P*  | 3/2 | 3s2.3p2.(3P).4s | 2P   | 1/2 |   4 - 2   |    |          T1220 |  L5148  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P IV      |              260.5506  |                        |   250 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P II      |              260.606   |                        |   150 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P III     |              261.1147  |                        |   200 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
P II      |              262.618   |                        |   100 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P III     |              263.2713  |                        |   300 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4134  |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
P II      |              263.676   |                        |    90 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L3986  |
P IV      |              264.4295  |                        |   400 |           |      |                               |                 |      |     |                 |      |     |           |    |                |  L4144  |
P I       |                        |              265.9374  |       | 4.1e+01   | E    |   18748.01    -    56339.656  | 3s2.3p3         | 2P*  | 3/2 | 3s2.3p2.(3P).4s | 4P   | 5/2 |   4 - 6   |    |          T1220 |         |
P I       |                        |              267.5297  |       | 2.7e+04   | E    |   18722.71    -    56090.626  | 3s2.3p3         | 2P*  | 1/2 | 3s2.3p2.(3P).4s | 4P   | 3/2 |   2 - 4   |    |          T1220 |         |
P I       |                        |              267.7110  |       | 1.3e+05   | E    |   18748.01    -    56090.626  | 3s2.3p3         | 2P*  | 3/2 | 3s2.3p2.(3P).4s | 4P   | 3/2 |   4 - 4   |    |          T1220 |         |
          |                        |                        |       |           |      |                               |                 |      |     |                 |      |     |           |    |                |         |
