[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ti (all spectra): 4528 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 21000
Query NIST Bibliographic Databases for
Ti (new window)
Ti Energy Levels
Ti Line Wavelengths and Classification
Ti Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |            Ei           Ek            |                Lower level                |                Upper level                |  gi   gk  |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |          (cm-1)       (cm-1)          |-------------------------------------------|-------------------------------------------|           |       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                       | Conf.                 | Term       | J    | Conf.                 | Term       | J    |           |       |              |                 |
Ti II     |                  204.117     |                  204.116162  |     0: |           |      |    34543.3799     -     83519.365     | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 2F         | 7/2  |   8 - 8   |       |              |          L5432  |
Ti II     |                  204.146883  |                  204.146911  |     24 |           |      |     4628.6571     -     53597.2664    | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 3/2  |   6 - 4   |       |              |            u37  |
Ti I      |                  204.31073   |                  204.31082   |      5 |           |      |      170.1328     -     49099.463     | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3D*        | 2    |   7 - 5   |       |              |         L10989  |
Ti II     |                  204.324     |                  204.323333  |     4: |           |      |     4628.6571     -     53554.9903    | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 5/2  |   6 - 6   |       |              |          L5432  |
Ti V      |                  204.5858    |                  204.59+     |      4 |           |      |   440065.2        -    488928.7       | 3s2.3p5.4s            | 3P*        | 0    | 3s.3p6.3d             | 3D         | 1    |   1 - 3   |       |              |         L11926  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  204.974782  |                  204.974775  |     28 |           |      |    34748.5062     -     83519.365     | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 2F         | 7/2  |  10 - 8   |       |              |            u37  |
Ti I      |                  205.00592   |                  205.00590   |      5 |           |      |      386.874      -     49150.329     | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3D*        | 3    |   9 - 7   |       |              |         L10989  |
Ti II     |                  205.032095  |                  205.032094  |    152 |           |      |    25192.9650     -     73950.1912    | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2D*        | 3/2  |   6 - 4   |       |              |            u37  |
Ti II     |                  205.14445   |                  205.144516  |      4 |           |      |    20891.7898     -     69622.3000    | 3d3                   | b 2F       | 7/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 5/2  |   8 - 6   |       |              |            u37  |
