[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Co (all spectra): 2891 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 610000
Query NIST Bibliographic Databases for
Co (new window)
Co Energy Levels
Co Line Wavelengths and Classification
Co Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |            Rel. |    Aki    | Acc. |          Ei           Ek          |               Lower level               |                Upper level                 |  gi   gk  |   Type|         TP  |             Line  |
          |                 Wavelength |                 Wavelength |            Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-----------------------------------------|--------------------------------------------|           |       |        Ref. |             Ref.  |
          |                  Air (nm)  |                  Air (nm)  |            (?)  |           |      |                                   | Conf.                    | Term  | J    | Conf.                    | Term     | J    |           |       |             |                   |
Co II     |                202.2089    |                202.209383  |             810 |           |      |    17771.507    -     67209.258   | 3d7.(4P).4s              | a 5P  | 3    | 3d7.(2P).4p              | z 1D*    | 2    |   7 - 5   |       |             |        L4687c119  |
Co II     |                202.235371  |                202.235363  |           33000 | 7.5e+07   | B    |      950.324    -     50381.724   | 3d8                      | a 3F  | 3    | 3d7.(4F).4p              | z 3F*    | 3    |   7 - 7   |       |       T6854 |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                202.575944  |                202.575948  |           15000 | 2.03e+07  | C+   |        0.000    -     49348.304   | 3d8                      | a 3F  | 4    | 3d7.(4F).4p              | z 3G*    | 4    |   9 - 9   |       |       T6854 |        L9429c118  |
Co II     |                202.704022  |                202.704026  |           32000 | 8.7e+07   | B    |     1597.197    -     50914.325   | 3d8                      | a 3F  | 2    | 3d7.(4F).4p              | z 3F*    | 2    |   5 - 5   |       |       T6854 |        L9429c118  |
Co II     |                203.0649    |                203.064644  |             280 | 1.7e+06   | D    |    25147.233    -     74376.792   | 3d7.(2G).4s              | b 1G  | 4    | 3d7.(2H).4p              | y 1H*    | 5    |   9 - 11  |       |       T6999 |        L4687c119  |
Co III    |                203.181     |                            |             100 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3537  |
Co I      |                203.196     |                            |             900 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co II     |                203.271841  |                203.271824  |            9800 | 3.9e+07   | D    |    13260.688    -     62440.078   | 3d8                      | a 3P  | 2    | 3d7.(4P).4p              | z 3S*    | 1    |   5 - 3   |       |       T6999 |        L9429c118  |
Co II     |                203.65851   |                203.658519  |            3900 | 9.0e+06   | C    |      950.324    -     50036.348   | 3d8                      | a 3F  | 3    | 3d7.(4F).4p              | z 3G*    | 3    |   7 - 7   |       |       T6135 |        L9429c118  |
Co II     |                203.867320  |                203.867320  |            5500 | 2.3e+07   | D    |    13404.321    -     62440.078   | 3d8                      | a 3P  | 1    | 3d7.(4P).4p              | z 3S*    | 1    |   3 - 3   |       |       T6999 |        L9429c118  |
Co I      |                203.995     |                            |            1500 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                204.06590   |                204.065767  |             250 |           |      |    61350.268    -    110338.346   | 3d7.(4P).4p              | y 5D* | 1    | 3d7.(4F).6s              | 5F       | 1    |   3 - 3   |       |             |        L9429c118  |
          |                            |                            |                 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |                   |
Co I      |                204.111     |                            |            1200 |           |      |                                   |                          |       |      |                          |          |      |           |       |             |            L3338  |
Co II     |                204.11209   |                204.111918  |             210 | 7.e+06    | D    |    65408.365    -    114385.369   | 3d7.(2P).4p              | z 3P* | 2    | 3d7.(2D2).4d             | 1F       | 3    |   5 - 7   |       |       T6999 |        L9429c118  |
