[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mg (all spectra): 1067 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 50
Query NIST Bibliographic Databases for
Mg (new window)
Mg Energy Levels
Mg Line Wavelengths and Classification
Mg Transition Probabilities
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |Type|                       TP  |    Line  |
          |                 Wavelength |                 Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |----------------------------------------|-----------------------------------------|           |    |                      Ref. |    Ref.  |
          |                  Air (nm)  |                  Air (nm)  |  (?)  |           |      |                                     | Conf.                 | Term    | J    | Conf.                 | Term     | J    |           |    |                           |          |
Mg IV     |                            |                 202.688    |       | 8.07e-04  | B    |   555341.9       -    604662.9      | 2s2.2p4.(3P).3s       | 2P      | 1/2  | 2s2.2p4.(3P).3p       | 4D*      | 3/2  |   2 - 4   | M2 |                       c48 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg IV     |                            |                 202.688    |       | 1.34e+06  | C    |   555341.9       -    604662.9      | 2s2.2p4.(3P).3s       | 2P      | 1/2  | 2s2.2p4.(3P).3p       | 4D*      | 3/2  |   2 - 4   |    |                       c46 |          |
Mg II     |                 202.832    |                 202.832    |       |           |      |   437570         -    486856        | 2p5.(2P*).3s.3p.(3P*) | 4P      | 5/2  | 2p5.(2P*).3p2.(3P)    | 4D*      | 7/2  |   6 - 8   |    |                           |  L10581  |
Mg III    |                 203.2923   |                 203.2920   |     2 |           |      |   535179.6       -    584354.1      | 2s2.2p5.3d            | 3D*     | 2    | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]   | 2    |   5 - 5   |    |                           |   L1434  |
Mg III    |                 203.3272   |                 203.3268   |     0 |           |      |   535179.6       -    584345.7      | 2s2.2p5.3d            | 3D*     | 2    | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]   | 1    |   5 - 3   |    |                           |   L1434  |
Mg III    |                            |                 203.955    |       | 2.82e-05  | D+   |   425640.3       -    474655.0      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 2    |   5 - 5   | M2 |                       c46 |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg III    |                 203.9553   |                 203.9549   |    15 | 1.54e+08  | A    |   425640.3       -    474655.0      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 2    |   5 - 5   |    |                       c46 |   L1434  |
Mg IX     |                            |                 204.48     |       | 3.71e+06  | D+   |  1758970         -   1807860        | 1s2.2p.3p             | 3D      | 3    | 1s2.2p.3d             | 3D*      | 2    |   7 - 5   |    |                T5633c4,LS |          |
Mg IV     |                            |                 205.437    |       | 1.58e-03  | B+   |   555341.9       -    604003.1      | 2s2.2p4.(3P).3s       | 2P      | 1/2  | 2s2.2p4.(3P).3p       | 4D*      | 5/2  |   2 - 6   | M2 |                       c48 |          |
Mg V      |                            |                 205.46     |       | 8.04e+06  | C    |   941944         -    990600?       | 2s.2p4.(4P).3s        | 3P      | 1    | 2s2.2p3.(2P*).4s      | 3P*      | 2    |   3 - 5   |    |                    c57,LS |          |
Mg V      |                            |                 205.46     |       | 3.22e+07  | C    |   941944         -    990600?       | 2s.2p4.(4P).3s        | 3P      | 1    | 2s2.2p3.(2P*).4s      | 3P*      | 0    |   3 - 1   |    |                    c57,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg V      |                            |                 205.46     |       | 8.04e+06  | C    |   941944         -    990600?       | 2s.2p4.(4P).3s        | 3P      | 1    | 2s2.2p3.(2P*).4s      | 3P*      | 1    |   3 - 3   |    |                    c57,LS |          |
Mg III    |                            |                 205.548    |       | 8.18e-04  | B    |   426868.1       -    475502.9      | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.3p            | 3D       | 1    |   3 - 3   | M2 |                       c46 |          |
Mg III    |                 205.5491   |                 205.5483   |    15 | 2.35e+08  | A    |   426868.1       -    475502.9      | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.3p            | 3D       | 1    |   3 - 3   |    |                       c46 |   L1434  |
Mg VIII   |                            |                 205.57     |       | 6.81e+06  | C+   |  1548850         -   1597480?       | 2s.2p.(1P*).3p        | 2D      | 5/2  | 2s.2p.(1P*).3d        | 2F*      | 5/2  |   6 - 6   |    |                T7192c4,LS |          |
Mg VIII   |                            |                 205.57     |       | 1.02e+08  | B+   |  1548850         -   1597480?       | 2s.2p.(1P*).3p        | 2D      | 5/2  | 2s.2p.(1P*).3d        | 2F*      | 7/2  |   6 - 8   |    |                T7192c4,LS |          |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg VI     |                            |                 205.57     |       | 6.46e+07  | B    |  1150840         -   1199470        | 2s.2p3.(3D*).3s       | 2D*     | 5/2  | 2s2.2p2.(3P).4s       | 2P       | 3/2  |   6 - 4   |    |                    u22,LS |          |
Mg VI     |                            |                 205.57     |       | 7.18e+06  | C    |  1150840         -   1199470        | 2s.2p3.(3D*).3s       | 2D*     | 3/2  | 2s2.2p2.(3P).4s       | 2P       | 3/2  |   4 - 4   |    |                    u22,LS |          |
Mg III    |                 206.4902   |                 206.4905   |    25 | 4.21e+08  | A    |   425640.3       -    474053.2      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 3    |   5 - 7   |    |                       c46 |   L1434  |
Mg III    |                            |                 206.491    |       | 4.69e-03  | A    |   425640.3       -    474053.2      | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.3p            | 3D       | 3    |   5 - 7   | M2 |                       c46 |          |
Mg III    |                 207.4298   |                 207.4298   |     1 |           |      |   536152.0       -    584345.7      | 2s2.2p5.3d            | 1P*     | 1    | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]   | 1    |   3 - 3   |    |                           |   L1434  |
          |                            |                            |       |           |      |                                     |                       |         |      |                       |          |      |           |    |                           |          |
Mg V      |                            |                 208.41     |       | 1.03e+07  | C    |   942634         -    990600?       | 2s.2p4.(4P).3s        | 3P      | 0    | 2s2.2p3.(2P*).4s      | 3P*      | 1    |   1 - 3   |    |                    c57,LS |          |
