[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
K (all spectra): 304 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 70
Query NIST Bibliographic Databases for
K (new window)
K Energy Levels
K Line Wavelengths and Classification
K Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                     Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek          |            Lower level            |            Upper level            |  gi   gk  |   Type|            TP  |    Line  |
          |                   Wavelength |                  Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)        |-----------------------------------|-----------------------------------|           |       |           Ref. |    Ref.  |
          |                    Air (nm)  |                   Air (nm)  |  (?)  |           |      |                                    | Conf.             | Term    | J   | Conf.             | Term    | J   |           |       |                |          |
K II      |                 213.2947     |                213.2942     |    10 | 5.12e+07  |      | 180618.7         -  227487.5       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[7/2]  | 4   |   7 - 9   |       |          T8304 |  L12188  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 213.3061     |                213.3065     |    10 | 1.09e+08  |      | 180618.7         -  227484.8       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[7/2]  | 3   |   7 - 7   |       |          T8304 |  L12188  |
K II      |                 213.8427     |                213.8432     |     1 | 1.06e+07  |      | 180618.7         -  227367.2       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[5/2]  | 2   |   7 - 5   |       |          T8304 |  L12188  |
K II      |                 213.9246     |                213.9256     |    20 | 1.64e+08  |      | 180392.7         -  227123.2       | 3p5.3d            | 3D*     | 2   | 3p5.(2P*<3/2>).4f | 2[3/2]  | 2   |   5 - 5   |       |          T8304 |  L12188  |
K II      |                 213.9494     |                213.9498     |    10 | 3.98e+07  |      | 180618.7         -  227343.9       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[5/2]  | 3   |   7 - 7   |       |          T8304 |  L12188  |
K II      |                 214.0277     |                214.0277     |     7 | 1.62e+07  |      | 180392.7         -  227100.9       | 3p5.3d            | 3D*     | 2   | 3p5.(2P*<3/2>).4f | 2[3/2]  | 1   |   5 - 3   |       |          T8304 |  L12188  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 214.1823     |                214.1832     |     5 | 2.03e+07  |      | 180448.9         -  227123.2       | 3p5.3d            | 3D*     | 1   | 3p5.(2P*<3/2>).4f | 2[3/2]  | 2   |   3 - 5   |       |          T8304 |  L12188  |
K II      |                 214.2860     |                214.2856     |    15 | 8.69e+07  |      | 180448.9         -  227100.9       | 3p5.3d            | 3D*     | 1   | 3p5.(2P*<3/2>).4f | 2[3/2]  | 1   |   3 - 3   |       |          T8304 |  L12188  |
K II      |                 214.4699     |                214.4699     |    50 | 6.90e+08  |      | 180618.7         -  227230.6       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[9/2]  | 4   |   7 - 9   |       |          T8304 |  L12188  |
K II      |                 214.9667     |                214.9653     |     0 | 2.99e+06  |      | 180618.7         -  227123.2       | 3p5.3d            | 1F*     | 3   | 3p5.(2P*<3/2>).4f | 2[3/2]  | 2   |   7 - 5   |       |          T8304 |  L12188  |
K II      |                 218.932      |                             |     6 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K II      |                 220.984      |                             |     4 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K II      |                 226.434      |                             |     5 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K II      |                 229.679      |                             |     1 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K II      |                 234.230      |                             |     3 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K II      |                 235.870      |                             |     1 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K VI      |                              |                236.747      |       | 1.57e+01  | C    |   1132.52        -   43358.8       | 3s2.3p2           | 3P      | 1   | 3s2.3p2           | 1S      | 0   |   3 - 1   | M1    |           T969 |          |
K VI      |                              |                247.257      |       | 1.4e-01   | D    |   2927.2         -   43358.8       | 3s2.3p2           | 3P      | 2   | 3s2.3p2           | 1S      | 0   |   5 - 1   | E2    |           T969 |          |
K II      |                 250.460      |                             |     3 |           |      |                                    |                   |         |     |                   |         |     |           |       |                |   L3490  |
K V       |                              |                251.445      |       | 2.4e+00   | C    |      0.0         -   39758.1       | 3s2.3p3           | 4S*     | 3/2 | 3s2.3p3           | 2P*     | 1/2 |   4 - 2   | M1    |          T6576 |          |
K V       |                              |                251.445      |       | 5.1e-04   | D    |      0.0         -   39758.1       | 3s2.3p3           | 4S*     | 3/2 | 3s2.3p3           | 2P*     | 1/2 |   4 - 2   | E2    |          T6576 |          |
          |                              |                             |       |           |      |                                    |                   |         |     |                   |         |     |           |       |                |          |
K III     |                 255.002      |                255.001      |     6 | 1.58e+08  |      | 207421.9         -  246625.6       | 3s2.3p4.(3P).4s   | 4P      | 5/2 | 3s2.3p4.(3P).4p   | 4S*     | 3/2 |   6 - 4   |       |          T7942 |   L3491  |
