[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Al (all spectra): 1038 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 4000
Query NIST Bibliographic Databases for
Al (new window)
Al Energy Levels
Al Line Wavelengths and Classification
Al Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |           Ei           Ek           |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |         (cm-1)       (cm-1)         |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                     | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al II     |                 204.787    |                 204.7873   |      1 |           |      |    91274.50      -    140090.0      | 3s.4s                 | 3S      | 1   | 3s.7p                 | 3P*     | 0    |   3 - 1   |    |                     |       L7431  |
Al IX     |                            |                 204.9      |        | 7.50e+06  | C+   |  1642140         -   1690940?       | 2s2.3d                | 2D      | 3/2 | 2s.2p.(3P*).3s        | 2P*     | 1/2  |   4 - 2   |    |          T7192c4,LS |              |
Al VI     |                            |                 205.674    |        | 2.67e+05  | B+   |  1031005         -   1079610        | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 3D*     | 3    |   5 - 7   |    |             T7370c8 |              |
Al VII    |                            |                 205.9      |        | 5.22e+07  | B+   |  1543000?        -   1591560        | 2s2.2p2.(3P).4s       | 4P      | 5/2 | 2s.2p3.(3D*).3d?      | 4P*?    | 5/2  |   6 - 6   |    |              u22,LS |              |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                            |                 205.916    |        | 4.05e+05  | B+   |  1030908         -   1079456        | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   3 - 5   |    |             T7370c8 |              |
Al VI     |                            |                 205.996    |        | 1.78e+06  | B+   |  1030908         -   1079437        | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 3D*     | 1    |   3 - 3   |    |             T7370c8 |              |
Al VI     |                            |                 206.328    |        | 1.86e+06  | B+   |  1031005         -   1079456        | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   5 - 5   |    |             T7370c8 |              |
Al VI     |                            |                 206.409    |        | 8.00e+05  | B+   |  1031005         -   1079437        | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 3D*     | 1    |   5 - 3   |    |             T7370c8 |              |
Al XI     |                            |                 206.9      |        | 9.82e+07  | AA   |  2020450         -   2068770        | 1s2.3s                | 2S      | 1/2 | 1s2.3p                | 2P*     | 1/2  |   2 - 2   |    |           u35,T7164 |              |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                            |                 207.338    |        | 2.30e+06  | B+   |  1031395         -   1079610        | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 3D*     | 3    |   7 - 7   |    |             T7370c8 |              |
Al III    |                            |                 207.3633   |      * | 2.86e+06  | B+   |   165786.32      -    213995.48     | 2p6.4d                | 2D      | 5/2 | 2p6.8f                | 2F*     | 5/2  |   6 - 6   |    |                 c32 |              |
Al III    |                            |                 207.3633   |      * | 4.28e+07  | A    |   165786.32      -    213995.48     | 2p6.4d                | 2D      | 5/2 | 2p6.8f                | 2F*     | 7/2  |   6 - 8   |    |                 c32 |              |
Al III    |                            |                 207.3684   |        | 4.00e+07  | A    |   165787.51      -    213995.48     | 2p6.4d                | 2D      | 3/2 | 2p6.8f                | 2F*     | 5/2  |   4 - 6   |    |                 c32 |              |
Al II     |                 207.4009   |                 207.4009   |    200 | 1.41e+08  | B    |    85481.35      -    133681.78     | 3p2                   | 1D      | 2   | 3s.5f                 | 1F*     | 3    |   5 - 7   |    |               T6533 |       L4575  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 207.962    |                 207.964    |   g,a* |           |      |      112.061     -     48182        | 3s2.3p                | 2P*     | 3/2 | 3s2.34d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 207.962    |                 207.964    |   g,a* |           |      |        0.000     -     48070        | 3s2.3p                | 2P*     | 1/2 | 3s2.23d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |                 207.987    |                 207.986    |    g,a |           |      |      112.061     -     48177        | 3s2.3p                | 2P*     | 3/2 | 3s2.33d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al VI     |                            |                 208.003    |        | 5.14e+05  | B+   |  1031395         -   1079456        | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   7 - 5   |    |             T7370c8 |              |
Al I      |                 208.015    |                 208.016    |    g,a |           |      |      112.061     -     48170        | 3s2.3p                | 2P*     | 3/2 | 3s2.32d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 208.046    |                 208.046    |   g,a* |           |      |        0.000     -     48051        | 3s2.3p                | 2P*     | 1/2 | 3s2.22d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |                 208.046    |                 208.046    |   g,a* |           |      |      112.061     -     48163        | 3s2.3p                | 2P*     | 3/2 | 3s2.31d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.079    |                 208.081    |    g,a |           |      |      112.061     -     48155        | 3s2.3p                | 2P*     | 3/2 | 3s2.30d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.115    |                 208.116    |    g,a |           |      |      112.061     -     48147        | 3s2.3p                | 2P*     | 3/2 | 3s2.29d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.140    |                 208.132    |    g,a |           |      |        0.000     -     48031.1      | 3s2.3p                | 2P*     | 1/2 | 3s2.21d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |                 208.1481   |                 208.1480   |     15 |           |      |    37453.91      -     85481.35     | 3s.3p                 | 3P*     | 1   | 3p2                   | 1D      | 2    |   3 - 5   |    |                     |       L4575  |
Al I      |                 208.157    |                 208.159    |    g,a |           |      |      112.061     -     48137        | 3s2.3p                | 2P*     | 3/2 | 3s2.28d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.201    |                 208.202    |    g,a |           |      |      112.061     -     48127        | 3s2.3p                | 2P*     | 3/2 | 3s2.27d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |                 208.250    |                 208.247    |    g,a |           |      |        0.000     -     48004.7      | 3s2.3p                | 2P*     | 1/2 | 3s2.20d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |                 208.253    |                 208.254    |    g,a |           |      |      112.061     -     48115        | 3s2.3p                | 2P*     | 3/2 | 3s2.26d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
          |                            |                            |        |           |      |                                     |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |                 208.310    |                 208.311    |    g,a |           |      |      112.061     -     48102        | 3s2.3p                | 2P*     | 3/2 | 3s2.25d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
